"the_geom","SYSTEMSTOP","STREET","CROSS_ST","DIR","POS","ROUTESSTPG","OWLROUTES","CITY","PUBLIC_NAM"
"POINT (-87.651912347 41.881651686)","14,647","MADISON","MORGAN","EB","FS","20","N20","CHICAGO","Madison & Morgan"
"POINT (-87.66617692099999 42.01919502099997)","1,011","HOWARD","SHERIDAN","EB","NS","147","0","CHICAGO","Howard & Sheridan"
"POINT (-87.72780483399998 41.96817665100002)","18,106","LAWRENCE","PULASKI","EB","FS","81","N81","CHICAGO","Lawrence & Pulaski"
"POINT (-87.70822019299999 41.79338131700001)","10,509","55TH STREET","HOMAN","EB","FS","55","N55","CHICAGO","55th Street & Homan"
"POINT (-87.63190400000002 41.77987999999999)","3,429","63RD STREET","YALE","EB","NS","63","N63","CHICAGO","63rd Street & Yale"
"POINT (-87.7130492 41.96833126299998)","3,746","LAWRENCE","KIMBALL","EB","FS","81","N81","CHICAGO","Lawrence & Kimball (Brown Line)"
"POINT (-87.648614329 41.750506977999976)","15,330","79TH STREET","MORGAN","EB","FS","79","N79","CHICAGO","79th Street & Morgan"
"POINT (-87.70577393100001 41.87725803699999)","30","JACKSON","KEDZIE","EB","FS","126",,"CHICAGO","Jackson & Kedzie"
"POINT (-87.71953908400002 41.83688121)","7,447","31ST STREET","HAMLIN","EB","NS","35,82",,"CHICAGO","31st Street & Hamlin"
"POINT (-87.64085565200003 41.82345778199999)","15,367","PERSHING","WALLACE","EB","FS","39",,"CHICAGO","Pershing & Wallace"
"POINT (-87.66359167000002 41.768490844999974)","15,974","69TH STREET","ASHLAND","EB","FS","67",,"CHICAGO","69th Street & Ashland"
"POINT (-87.57567600700003 41.722537972)","12,105","95TH STREET","JEFFERY","WB","FS","100",,"CHICAGO","95th Street & Jeffery"
"POINT (-87.65183300000001 41.881767001000014)","459","MADISON","MORGAN","WB","NS","20","N20","CHICAGO","Madison & Morgan"
"POINT (-87.70256625000002 41.74970870300001)","2,737","79TH STREET","KEDZIE","EB","NS","79,169",,"CHICAGO","79th Street & Kedzie"
"POINT (-87.73600647 41.916990494000004)","15,221","ARMITAGE","KOSTNER","EB","FS","73",,"CHICAGO","Armitage & Kostner"
"POINT (-87.766798999 41.949438999999984)","11,618","CENTRAL","GRACE","NB","NS","85",,"CHICAGO","Central & Grace"
"POINT (-87.642397013 41.86965360300002)","6,703","TAYLOR","JEFFERSON","EB","NS","157",,"CHICAGO","Taylor & Jefferson"
"POINT (-87.66951300099998 41.881370000000004)","431","MADISON","PAULINA","EB","NS","20","N20","CHICAGO","Madison & Paulina"
"POINT (-87.65122371899997 41.86702954100002)","306","ROOSEVELT","MORGAN","EB","NS","12",,"CHICAGO","Roosevelt & Morgan"
"POINT (-87.664133999 41.947014000000024)","12,538","ADDISON","SOUTHPORT","EB","NS","152",,"CHICAGO","Addison & Southport"
"POINT (-87.74285636000002 41.802055755000026)","8,126","CICERO","50TH STREET","NB","NS","47,54B",,"CHICAGO","Cicero & 50th Street"
"POINT (-87.70447500099999 41.827986001)","3,130","KEDZIE","36TH STREET","NB","NS","52",,"CHICAGO","Kedzie & 36th Street"
"POINT (-87.66736844799999 41.68477517100001)","2,866","115TH STREET","VINCENNES","WB","NS","111",,"CHICAGO","115th Street & Vincennes"
"POINT (-87.76459825 41.876603649)","149","JACKSON","CENTRAL","WB","NS","126",,"CHICAGO","Jackson & Central"
"POINT (-87.66239115500002 41.808697784)","8,081","47TH STREET","LAFLIN","WB","NS","47",,"CHICAGO","47th Street & Laflin"
"POINT (-87.68824131000002 41.70644028100003)","12,197","103RD STREET","TALMAN (west leg)","WB","NT","103",,"CHICAGO","103rd Street & Talman"
"POINT (-87.64428529999998 41.94011202799999)","4,996","BELMONT","BROADWAY","WB","NS","77,151,156",,"CHICAGO","Belmont & Broadway"
"POINT (-87.669601 41.79399699999999)","10,605","GARFIELD","WOOD","WB","FS","55","N55","CHICAGO","Garfield & Wood"
"POINT (-87.60617373299999 41.78046531199999)","16,077","63RD STREET","COTTAGE GROVE","WB","FS","63","N63","CHICAGO","63rd Street & Cottage Grove (Green Line)"
"POINT (-87.64676847800001 41.85815960399998)","6,805","18TH STREET(north leg)","HALSTED","WB","FS","18",,"CHICAGO","18th Street & Halsted"
"POINT (-87.76264360900001 41.975248771999986)","4,840","FOSTER","LONG","WB","NS","92",,"CHICAGO","Foster & Long"
"POINT (-87.75626209400002 41.91707096499999)","3,883","GRAND","LARAMIE","WB","FS","57,65,73",,"CHICAGO","Grand & Laramie"
"POINT (-87.70925683600001 41.997576794999986)","12,031","KEDZIE","DEVON","NB","FS","11",,"CHICAGO","Kedzie & Devon"
"POINT (-87.66600390999997 41.83739837899998)","4,439","ARCHER","ASHLAND","NEB","NS","62","N62","CHICAGO","Archer & Ashland"
"POINT (-87.72486869300002 41.851748934)","9,053","PULASKI","CERMAK","SB","NS","53",,"CHICAGO","Pulaski & Cermak"
"POINT (-87.72230991800001 41.75481569499999)","12,866","PULASKI","76TH STREET","SB","FS","53A",,"CHICAGO","Pulaski & 76th Street"
"POINT (-87.76726546200001 41.970319210000014)","9,800","HIGGINS","CENTRAL/EDMUNDS","NWB","NS","88",,"CHICAGO","Higgins & Central/Edmunds"
"POINT (-87.632057879 41.801612267999985)","6,520","WELLS","51ST STREET","SB","FS","24",,"CHICAGO","Wells & 51st Street"
"POINT (-87.78782074499998 41.985939883000015)","9,943","NORTHWEST HWY","NAGLE","SEB","NS","68",,"CHICAGO","Northwest Hwy & Nagle"
"POINT (-87.683067 41.750001)","8,630","79TH STREET","WESTERN","EB","NS","169",,"CHICAGO","79th Street & Western"
"POINT (-87.62280721100001 41.79474283600001)","10,584","GARFIELD","MICHIGAN","WB","FS","55","N55","CHICAGO","Garfield & Michigan"
"POINT (-87.68682071699999 41.89078532299999)","8,228","WESTERN","GRAND","SB","NS","49,X49","N49","CHICAGO","Western & Grand"
"POINT (-87.711859001 41.90650299999999)","11,158","HOMAN","HIRSCH","SB","NS","82",,"CHICAGO","Homan & Hirsch"
"POINT (-87.70663099900003 41.895366000000024)","3,024","KEDZIE","CHICAGO","SB","FS","52",,"CHICAGO","Kedzie & Chicago"
"POINT (-87.585737069 41.73707597800001)","7,203","STONY ISLAND","87TH STREET","SB","NS","28",,"CHICAGO","Stony Island & 87th Street"
"POINT (-87.668866434 41.98358424600002)","1,802","CLARK","BRYN MAWR","SB","NS","50",,"CHICAGO","Clark & Bryn Mawr"
"POINT (-87.62404107600003 41.85764577600003)","1,596","MICHIGAN","18TH STREET","SB","FS","1,3,4","N4","CHICAGO","Michigan & 18th Street"
"POINT (-87.61653683999998 41.82376837300001)","7,734","PERSHING","KING DRIVE","EB","FS","39",,"CHICAGO","Pershing & King Drive"
"POINT (-87.77651841699998 41.77770701999998)","3,303","63RD STREET","MELVINA","EB","NS","63W",,"CHICAGO","63rd Street & Melvina"
"POINT (-87.67186305400003 41.88132840399999)","430","MADISON","WOOD","EB","NS","20","N20","CHICAGO","Madison & Wood"
"POINT (-87.62212367900003 41.890948389000016)","17,071","ILLINOIS lower","ST. CLAIR (east leg)","EB","NS","29,65,120,121",,"CHICAGO","Illinois (Lower) & St. Clair"
"POINT (-87.73100620600002 41.90252040799999)","15,805","DIVISION","KEELER","EB","FS","70",,"CHICAGO","Division & Keeler"
"POINT (-87.67338937599999 41.94685452800002)","12,534","ADDISON","LINCOLN","EB","FS","152",,"CHICAGO","Addison & Lincoln"
"POINT (-87.61023499999999 41.751157001000024)","2,783","79TH STREET","ST. LAWRENCE","EB","NS","79","N79","CHICAGO","79th Street & St. Lawrence"
"POINT (-87.66384994700002 41.779412745)","3,413","63RD STREET","ASHLAND","EB","FS","63","N63","CHICAGO","63rd Street & Ashland (Green Line)"
"POINT (-87.682038949 42.00891769200001)","12,051","LUNT","RIDGE","EB","NS","96",,"CHICAGO","Lunt & Ridge"
"POINT (-87.68640800200001 41.87382333900001)","188","HARRISON","WESTERN","EB","NS","7",,"CHICAGO","Harrison & Western"
"POINT (-87.665589748 41.998065121000025)","1,741","DEVON","GLENWOOD","EB","NS","36,151,155",,"CHICAGO","Devon & Glenwood"
"POINT (-87.76526377800002 41.89493012600002)","663","CHICAGO","CENTRAL","WB","NS","66",,"CHICAGO","Chicago & Central"
"POINT (-87.68439803899997 42.019551897999975)","3,517","HOWARD","RIDGE","WB","NS","97,201,206",,"EVANSTON","Howard & Ridge"
"POINT (-87.70533055499999 41.85913506000003)","6,829","16TH STREET","KEDZIE","WB","NS","18",,"CHICAGO","16th Street & Kedzie"
"POINT (-87.71666649500003 41.91733959499999)","4,121","ARMITAGE","CENTRAL PARK","WB","NS","73",,"CHICAGO","Armitage & Central Park"
"POINT (-87.73141500000003 41.74944700100002)","2,692","79TH STREET","KOSTNER","WB","NS","79",,"CHICAGO","79th Street & Kostner"
"POINT (-87.63940099899997 41.879358000000025)","12,713","ADAMS","CANAL","WB","NS","1,7,28,121,126,130,151,156",,"CHICAGO","Adams & Canal"
"POINT (-87.71865377900002 41.99030653099999)","11,498","PETERSON","CENTRAL PARK","WB","NS","84",,"CHICAGO","Peterson & Central Park"
"POINT (-87.702641427 41.89566658799998)","638","CHICAGO","SACRAMENTO(west serv.dr.)","WB","FS","66","N66","CHICAGO","Chicago & Sacramento"
"POINT (-87.75465066800001 41.87301839700001)","248","HARRISON","LARAMIE","WB","NS","7,57",,"CHICAGO","Harrison & Laramie"
"POINT (-87.68616097199998 41.852104252000004)","15,305","CERMAK","WESTERN","WB","FS","21",,"CHICAGO","Cermak & Western"
"POINT (-87.68028044900001 42.019502147000026)","3,515","HOWARD","CUSTER","WB","NS","97,201,206",,"EVANSTON","Howard & Custer"
"POINT (-87.670121085 41.82327775300001)","6,595","PERSHING","WOOD","WB","NS","39",,"CHICAGO","Pershing & Wood"
"POINT (-87.660093184 41.79414586299998)","10,601","GARFIELD","LOOMIS","WB","FS","55","N55","CHICAGO","Garfield & Loomis"
"POINT (-87.65014913599998 41.96543657699999)","4,917","WILSON","CLARENDON","EB","NS","78",,"CHICAGO","Wilson & Clarendon"
"POINT (-87.75061542600002 41.902246327)","15,463","DIVISION","LAVERGNE","EB","FS","70",,"CHICAGO","Division & Lavergne"
"POINT (-87.669691 41.801203000999976)","9,169","51ST STREET","WOOD","EB","NS","51",,"CHICAGO","51st Street & Wood"
"POINT (-87.76552391899997 41.89479043199998)","515","CHICAGO","CENTRAL","EB","NS","66",,"CHICAGO","Chicago & Central"
"POINT (-87.64897588999997 41.91083785000001)","913","NORTH AVENUE","CLYBOURN/HASLTED","EB","FS","N9,72","N9","CHICAGO","North Ave & Clybourn/Halsted (Red Line)"
"POINT (-87.69477959599999 41.822709513999996)","7,802","PERSHING","CALIFORNIA","EB","NS","39",,"CHICAGO","Pershing & California"
"POINT (-87.60022579399998 41.751397236)","2,628","79TH STREET","ELLIS","WB","NS","79","N79","CHICAGO","79th Street & Ellis"
"POINT (-87.65993993199999 41.96909402)","3,781","LAWRENCE","BROADWAY","WB","FS","81","N81","CHICAGO","Lawrence & Broadway"
"POINT (-87.75136143700001 41.931561663000025)","11,087","DIVERSEY","LAVERGNE","WB","NS","76",,"CHICAGO","Diversey & Lavergne"
"POINT (-87.70280055400002 41.896863627000016)","800","GRAND","SACRAMENTO(west serv.dr.)","WB","FS","52,65",,"CHICAGO","Grand & Sacramento"
"POINT (-87.80083523100001 41.93089308399999)","11,108","DIVERSEY","SAYRE","WB","NS","76",,"CHICAGO","Diversey & Sayre"
"POINT (-87.72834989799998 41.983052842999996)","17,323","PULASKI","BRYN MAWR","NB","FS","53",,"CHICAGO","Pulaski & Bryn Mawr"
"POINT (-87.68789067099999 41.93964003100001)","17,346","WESTERN","BELMONT/CLYBOURN","NB","FS","49,X49","N49","CHICAGO","Western & Belmont/Clybourn"
"POINT (-87.61729198400002 41.847657706999996)","17,397","KING DRIVE","25TH STREET","NB","FT","3,21",,"CHICAGO","King Drive & 25th Street"
"POINT (-87.70908637399998 41.94666952099999)","12,579","ADDISON","ELSTON","WB","FS","152",,"CHICAGO","Addison & Elston"
"POINT (-87.72956698299998 41.96099881499998)","11,396","MONTROSE","ELSTON","WB","NS","78",,"CHICAGO","Montrose & Elston"
"POINT (-87.72749216900002 41.94618759100001)","17,462","PULASKI","ADDISON","SB","FS","53","N53","CHICAGO","Pulaski & Addison"
"POINT (-87.63185496699998 41.780100893999986)","6,535","YALE","63RD STREET","SB","NS","24",,"CHICAGO","Yale & 63rd Street"
"POINT (-87.629753 41.761973001)","6,545","WENTWORTH","73RD STREET","SB","NS","24",,"CHICAGO","Wentworth & 73rd Street"
"POINT (-87.60966564400002 41.693101024999976)","17,676","COTTAGE GROVE","111TH STREET","NB","FS","4,115",,"CHICAGO","Cottage Grove & 111th Street"
"POINT (-87.797903448 42.054878342999984)","17,677","GOLF ROAD","WAUKEGAN (AVON)","WB","MB","X98",,"MORTON GROVE","Golf Road & Waukegan (Avon)"
"POINT (-87.78565251200001 41.93825133500002)","17,481","BELMONT","NARRAGANSETT","EB","FS","77","N77","CHICAGO","Belmont & Narragansett"
"POINT (-87.74512281099999 41.88060933700001)","496","MADISON","CICERO","WB","NS","20","N20","CHICAGO","Madison & Cicero"
"POINT (-87.66364782099998 41.93256418499999)","11,049","DIVERSEY","SOUTHPORT","WB","FS","76",,"CHICAGO","Diversey & Southport"
"POINT (-87.67929644399999 41.97591942899999)","8,961","DAMEN","FOSTER","NB","NS","50",,"CHICAGO","Damen & Foster"
"POINT (-87.62689904199999 41.84944829900002)","15,360","STATE","24TH STREET","NB","FS","29",,"CHICAGO","State & 24th Street"
"POINT (-87.75132597700002 41.924085823999974)","1,304","FULLERTON","LAVERGNE","EB","NS","74",,"CHICAGO","Fullerton & Lavergne"
"POINT (-87.69534677799999 41.84462757099999)","6,319","26TH STREET","CALIFORNIA AVENUE","EB","NS","60","N60","CHICAGO","26th Street & California Avenue"
"POINT (-87.62617168600002 41.830952466999975)","14,953","35TH STREET","STATE","EB","FS","35",,"CHICAGO","35th Street & State (Green Line)"
"POINT (-87.63201200100002 41.800185)","6,521","WELLS","52ND STREET","SB","NS","24",,"CHICAGO","Wells & 52nd Street"
"POINT (-87.65117585500002 41.83791345899999)","7,473","31ST STREET","MORGAN","EB","NS","31",,"CHICAGO","31st Street & Morgan"
"POINT (-87.67362649199998 41.764652075000015)","15,839","DAMEN","71ST STREET","SB","FS","48,94",,"CHICAGO","Damen & 71st Street"
"POINT (-87.61735022900001 41.82375463699998)","7,733","PERSHING","KING DRIVE","EB","NS","39",,"CHICAGO","Pershing & King Drive"
"POINT (-87.627568924 41.67791638699998)","12,459","119TH STREET","WENTWORTH","EB","NS","119",,"CHICAGO","119th Street & Wentworth"
"POINT (-87.667877734 41.910556568000004)","902","NORTH AVENUE","ASHLAND","EB","NS","72",,"CHICAGO","North Ave & Ashland"
"POINT (-87.67735639 41.72088921400001)","3,488","95TH STREET","LEAVITT","EB","NS","95",,"CHICAGO","95th Street & Leavitt"
"POINT (-87.77692805200002 41.96758666400001)","9,675","LAWRENCE","AUSTIN","EB","FS","81W,91",,"CHICAGO","Lawrence & Austin/Mason"
"POINT (-87.77225199999998 41.960354000999985)","11,314","MONTROSE","MENARD","EB","NS","78",,"CHICAGO","Montrose & Menard"
"POINT (-87.64096853900003 41.830750935000026)","15,413","35TH STREET","WALLACE","EB","FS","35",,"CHICAGO","35th Street & Wallace"
"POINT (-87.67768895900002 41.69174656000001)","12,402","111TH STREET","BELL","EB","NS","112",,"CHICAGO","111th Street & Bell"
"POINT (-87.68995666199999 42.00865640500001)","12,073","LUNT","WESTERN","WB","NS","96",,"CHICAGO","Lunt & Western"
"POINT (-87.64115099999998 41.87814000100002)","6,361","CLINTON","JACKSON","SB","NS","7,60,126,157","N60","CHICAGO","Clinton & Jackson"
"POINT (-87.68084430800002 41.86893196699998)","14,203","OGDEN","TAYLOR","NEB","NS","12",,"CHICAGO","Ogden & Taylor"
"POINT (-87.738211471 41.97548306599998)","14,806","FOSTER","KOSTNER","WB","FT","92",,"CHICAGO","Foster & Kostner"
"POINT (-87.781481999 41.945659999999975)","12,489","ADDISON","MELVINA","EB","NS","152",,"CHICAGO","Addison & Melvina"
"POINT (-87.71306099999998 41.96104200000002)","11,279","KIMBALL","MONTROSE","NB","NS","82",,"CHICAGO","Kimball & Montrose"
"POINT (-87.683963688 41.78628903600003)","14,578","WESTERN","59TH STREET","SB","FS","49,X49","N49","CHICAGO","Western & 59th Street"
"POINT (-87.66659906699999 41.86899322099998)","17,063","ASHLAND","TAYLOR","SB","FS","9,X9","N9","CHICAGO","Ashland & Taylor"
"POINT (-87.63416133499999 41.89171842799999)","5,020","WELLS","GRAND","SB","NS","37,125",,"CHICAGO","Wells & Grand"
"POINT (-87.642378157 41.94661853299999)","1,065","LAKE SHORE","CORNELIA","SB","FS","135,146,151",,"CHICAGO","Lake Shore & Cornelia"
"POINT (-87.660337147 41.98371405400002)","11,467","RIDGE","BROADWAY/BRYN MAWR","SEB","NS","84",,"CHICAGO","Ridge & Broadway/Bryn Mawr"
"POINT (-87.68659653200001 41.882192585999974)","8,233","WESTERN","WARREN","SB","NS","49","N49","CHICAGO","Western & Warren"
"POINT (-87.61459114600001 41.73634175500001)","2,256","KING DRIVE","87TH STREET","SB","FS","3",,"CHICAGO","King Drive & 87th Street"
"POINT (-87.72051155399998 41.69850894699999)","4,695","PULASKI","107TH STREET","NB","NS","53A",,"CHICAGO","Pulaski & 107th Street"
"POINT (-87.70065599899999 41.68964999999997)","9,965","KEDZIE","112TH STREET(north leg)","NB","NS","52A",,"CHICAGO","Kedzie & 112th Street"
"POINT (-87.78654799999998 41.95502499999998)","11,763","NARRAGANSETT","BELLE PLAINE","NB","NT","86",,"CHICAGO","Narragansett & Belle Plaine"
"POINT (-87.64121211899999 41.92697261500001)","17,266","CLARK","ARLINGTON (south leg)","NB","FS","22,36","N22","CHICAGO","Clark & Arlington"
"POINT (-87.62433800000002 41.745317)","2,281","STATE","82ND STREET","NB","NS","29",,"CHICAGO","State & 82nd Street"
"POINT (-87.585862572 41.76773413199999)","7,126","STONY ISLAND","70TH STREET","NB","NS","28",,"CHICAGO","Stony Island & 70th Street"
"POINT (-87.62485600000002 41.72266300000001)","14,011","95TH STREET","RED LINE STATION","NB","TERM","34,119",,"CHICAGO","95th Red Line Station"
"POINT (-87.65546759699998 41.706859415)","12,180","103RD STREET","VINCENNES (east RR CROSSING)","WB","NS","103",,"CHICAGO","103rd Street & Vincennes"
"POINT (-87.62102781300001 41.721876742999996)","2,982","95TH STREET","MICHIGAN","WB","FS","N5,34,95,100,103,106,111,115,119","N5,N34","CHICAGO","95th Street & Michigan"
"POINT (-87.65148299999998 41.869553999999994)","6,628","TAYLOR","MORGAN","WB","FS","157",,"CHICAGO","Taylor & Morgan"
"POINT (-87.73823201900001 41.99010086599998)","11,504","PETERSON","KOSTNER","WB","NS","84",,"CHICAGO","Peterson & Kostner"
"POINT (-87.70307081800001 41.859205428999985)","6,828","16TH STREET","ALBANY","WB","FS","18",,"CHICAGO","16th Street & Albany"
"POINT (-87.70360856999997 41.800900651000006)","9,223","51ST STREET","KEDZIE","WB","NS","51",,"CHICAGO","51st Street & Kedzie"
"POINT (-87.696922228 41.895731008999974)","14,889","CHICAGO","CALIFORNIA","WB","FS","66","N66","CHICAGO","Chicago & California"
"POINT (-87.64322485399998 41.819004072999974)","5,148","ROOT","UNION","WB","NS","43,44",,"CHICAGO","Root & Union"
"POINT (-87.62100200100002 41.873264000999995)","4,883","BALBO","COLUMBUS","WB","FS","2,6,10,J14,26,28",,"CHICAGO","Balbo & Columbus"
"POINT (-87.74379130199998 41.93893034400003)","9,324","BELMONT","KILPATRICK (east leg)","WB","NS","77","N77","CHICAGO","Belmont & Kilpatrick"
"POINT (-87.682612 41.750200000999996)","2,670","79TH STREET","WESTERN","WB","NS","79,169",,"CHICAGO","79th Street & Western"
"POINT (-87.757354884 41.953398381)","14,549","IRVING PARK","LARAMIE","WB","FS","80",,"CHICAGO","Irving Park & Laramie"
"POINT (-87.597422 41.73679499999997)","9,475","87TH STREET","GREENWOOD","WB","NT","87",,"CHICAGO","87th Street & Greenwood"
"POINT (-87.72756499899998 41.74950999999999)","2,691","79TH STREET","TRIPP","WB","NT","79",,"CHICAGO","79th Street & Tripp"
"POINT (-87.66958082000002 41.979721412)","8,622","ASHLAND","BALMORAL","NB","NS","50",,"CHICAGO","Ashland & Balmoral"
"POINT (-87.72104802299998 41.877210504000004)","129","JACKSON","HAMLIN","WB","FS","126",,"CHICAGO","Jackson & Hamlin"
"POINT (-87.756753188 41.946016801999974)","12,599","ADDISON","LARAMIE","WB","NS","152",,"CHICAGO","Addison & Laramie"
"POINT (-87.715061375 41.94659370400001)","12,581","ADDISON","ST. LOUIS","WB","NS","152",,"CHICAGO","Addison & St. Louis"
"POINT (-87.62419299999999 41.878135000999976)","76","MICHIGAN","JACKSON","NB","NS","3,4,6,J14,26,143","N4","CHICAGO","Michigan & Jackson"
"POINT (-87.746597076 41.93510673700001)","10,323","CICERO","WELLINGTON","NB","NS","54",,"CHICAGO","Cicero & Wellington"
"POINT (-87.69332656099999 41.77927613700001)","14,854","CALIFORNIA","63RD STREET","NB","FS","94",,"CHICAGO","California & 63rd Street"
"POINT (-87.66321660400001 41.746924751999984)","15,456","ASHLAND","81ST STREET","NB","FS","9","N9","CHICAGO","Ashland & 81st Street"
"POINT (-87.683206584 41.76822045099999)","8,317","WESTERN","69TH STREET","NB","NS","49,67,94,X49","N49","CHICAGO","Western & 69th Street"
